lig-ID,prot-RMSD_AFold,Bsite-RMSD_AFold,prot-RMSD_premin,Bsite-RMSD_premin,Lig-RMSD_premin,prot-RMSD_min,Bsite-RMSD_min,Lig-RMSD_min
A0,0.6758357886832042,1.2390066,0.6757961332145448,1.1395502,0.6636784145234632,1.0384368303534806,1.5185088,1.8004989665509652
A1,0.6606046924125913,1.3209752,0.6605994527219718,1.2458533,1.1411027981360842,0.9633089887828744,1.3460402,1.801459381165874
A2,0.655379156425283,1.4328041,0.6553750091094005,1.3646364,1.255904981368315,0.8308011180151345,1.416701,1.1461170044161046
A3,0.6979799315398558,1.3384167,0.6979494086912499,1.3011948,1.9940543277812983,1.013362024034893,1.5521014,1.5490884061978234
A4,0.6609905980595352,1.1418483,0.6609888139389203,1.1409808,1.589442359265247,0.7790859188302326,1.2084414,1.549737321477152
A5,0.6227813119491211,1.2087232,0.6227653013152721,1.132095,1.9315735906603264,0.8704901050300213,1.4892657,1.9381746034386929
A6,0.66897473888664,1.2571319,0.6689519075090652,1.3081263,2.8644477363197858,0.9605480119265104,1.3870771,2.75731680491748
A7,0.6549104301585084,1.2259836,0.6549381793184734,1.3081388,1.3424439895227962,1.1061063847380412,1.5965096,1.6523392239909915
A8,0.5716066070368216,1.2655339,0.5716265034225407,1.1228603,1.061575173991475,0.8711627592804763,1.2349238,0.4689829522048573
A9,0.6650732823059574,1.2843108,0.6650771098199749,1.2366443,1.9893150976855076,0.8158227288082383,1.3908726,2.0603545884110828
A10,0.6992439337105458,1.3094925,0.6992209065806686,1.2482741,1.1024335565044054,0.8799412362833735,1.3276005,0.5301274752339132
A11,0.6013520859435234,1.1879861,0.601347529174832,1.0891548,0.8845213190414777,0.9183456684623692,1.2825485,1.0275893735049335
A12,0.6684181506410484,1.2926135,0.668447321472892,1.2417096,2.165251409126595,0.9818962372673138,1.5035896,2.664360246678629
A13,0.6399290309973225,1.3201395,0.639900670666435,1.2156749,2.169277749891629,0.9532060309757426,1.4281553,2.1597368193241473
A14,0.63030295791538,1.3739203,0.6303333878131497,1.2935196,0.7005387920723285,0.9229339938790742,1.4877511,0.8426029857902209
A15,0.6046214802842437,1.2122834,0.6046064404258518,1.157215,0.6977393269178473,0.8241136049549855,1.3387836,0.6991658526402744
A16,0.61798563365111,1.3264104,0.617951765610641,1.2453825,1.012316488911398,0.8281535956030921,1.3811133,1.5846816784015334
A17,0.6421126475532399,1.2591059,0.6421253423008348,1.1934369,1.4838880859231285,0.8910889682552119,1.4040253,1.27410511512823
A18,0.6809302145908291,1.3905878,0.680914332851998,1.3791453,1.1027153020666547,0.9691912081802871,1.4700886,1.1319491899127343
A19,0.6096650417038706,1.0988208,0.6096680892520707,1.1631619,1.1871360304709573,0.943947845348978,1.265915,1.1526934632902668
A20,0.6820778872056822,1.161597,0.6820807146970079,1.0840757,0.9321318922188956,0.919148760297644,1.1930478,1.0134265253914148
A21,0.6280249215538333,1.3164523,0.6280335888796629,1.231938,1.008187913149539,0.7252568353634108,1.3306963,1.126605023885726
A22,0.5920600036877098,1.3906575,0.5920819560701498,1.2965052,1.0152867319738004,0.8005376502836506,1.3077344,0.7385801198790992
A23,0.6814646657037708,1.3507406,0.6814419527510398,1.3559729,1.2743472395564537,0.8243279577695845,1.2487754,1.245621751657843
A24,0.658509806557228,1.2799877,0.6585054037924482,1.2042356,2.7105928715049386,0.8125765983026998,1.3910688,3.133540735845831
A25,0.5965229511512514,1.2365651,0.5965059978387188,1.229577,1.2557088966847223,0.9168387156441008,1.3634112,1.2031435763810103
A26,0.6292621498813923,1.2765641,0.6292764911299997,1.1855446,1.4908164752301167,0.901564791184408,1.4054394,1.2111453324773056
A27,0.6316704615620979,1.31348,0.6316628057827751,1.1761525,1.1280668024092644,0.9259766772075804,1.3117346,1.1109281068256462
A28,0.615950780495436,1.1507415,0.6159499537763188,1.1407598,0.6148376338882309,1.061727977052443,1.3564137,1.0013002483279525
A29,0.6137429222658419,1.245515,0.6137416454318448,1.2359631,1.1759406894652684,0.9350769575492562,1.3389723,1.2391225322515254
A30,0.6139623345904215,1.2513509,0.6139526817435419,1.1624914,1.9285302406603737,0.8908444585167645,1.2762207,2.045986497114535
A31,0.6404374765539096,1.2613943,0.6404437662997096,1.2466604,1.1355403415178509,0.9373807763063372,1.3991603,1.2078788862559398
A32,0.7061289597397629,1.2169695,0.7061063515298934,1.2122892,0.9358582141274548,1.0626255432998155,1.3807895,0.9151942767321894
A33,0.6294699057208297,1.3081765,0.6294892316142078,1.3017426,1.0050143806367848,1.0126405038343131,1.52311,1.069352194377318
A34,0.6803780739235311,1.4152887,0.6804008921102903,1.3081068,2.354556025071823,1.054647564305793,1.5039737,2.358289930967576
A35,0.6303009655088765,1.3908111,0.6302927322061308,1.2878855,1.3873916985371575,0.791403024250753,1.2755412,1.4475428991242645
A36,0.6703547244962129,1.3092009,0.6703513417602901,1.2984643,1.14329631580986,0.9820485027025108,1.4886456,0.6976131321476036
A37,0.6967551491655305,1.3095722,0.6967524795531658,1.2358418,0.9447674491739416,1.0704031353201908,1.4623761,1.3915258333970384
A38,0.5767047868669143,1.3846618,0.5767293105372863,1.2445123,0.7805408032102924,0.8665674873006348,1.250606,0.4455052599313573
A39,0.7230665394807345,1.32717,0.7230568438027651,1.273989,2.150625709747048,0.9859901043169604,1.557195,1.8382524592964855
A40,0.7151461060590939,1.4102423,0.7151570810703977,1.411036,2.1260556460525692,1.052374406381974,1.4474689,2.0340021919673164
