lig-ID,premin-score-POSIT,docking-score-POSIT,Vina-score-premin,Vina-score-min,gnina-RMSD,gnina-dock-Affinity,gnina-Affinity-var,CNN_dock_score,CNN_dock_affinity,CNNvariance
ASAP-0014882,-3.233021974563598,-6.161322116851807,-8.1,-8.267,0.53758,-8.07843,-0.85129,0.91302,-7.07739,0.1703
ASAP-0013398,-6.437877655029297,-6.844714164733887,-8.566,-8.786,0.53837,-9.09091,-2.01105,0.90074,-7.03792,0.07093
ASAP-0013300,-5.418525695800781,-8.43107795715332,-9.252,-9.649,0.37024,-9.82816,-1.79351,0.45509,-6.86753,0.16091
ASAP-0014966,-2.22275447845459,-8.02115535736084,-9.109,-9.933,0.62309,-9.28558,-2.17092,0.8546,-7.22538,0.12904
ASAP-0013716,-1.1945719718933103,-8.028861999511719,-8.65,-9.46,0.95703,-9.19685,-1.63341,0.97309,-7.82239,0.05674
ASAP-0013264,-5.267767906188965,-8.386859893798828,-8.319,-8.563,0.35177,-9.67617,-2.02281,0.92239,-7.33178,0.00278
ASAP-0013267,-2.0198192596435547,-8.004170417785645,-8.052,-8.185,0.95161,-7.94452,-1.31989,0.96486,-6.70911,0.07976
ASAP-0013719,-7.292584419250488,-10.217829704284668,-9.401,-9.69,0.35018,-8.19926,-0.76721,0.90022,-6.47553,0.02586
ASAP-0014925,-5.863363265991211,-11.557151794433594,-9.011,-9.225,0.55958,-9.34205,-2.7377,0.91196,-7.8364,0.06314
ASAP-0013731,-6.3118181228637695,-7.863653659820557,-7.354,-7.907,0.56523,-8.05435,-2.10003,0.9076,-7.12074,0.02965
ASAP-0014973,-0.7898744344711304,-10.08492660522461,-8.261,-8.385,0.81398,-9.06785,-1.02282,0.90603,-7.49168,0.04556
ASAP-0013397,-7.999604225158691,-9.262714385986328,-9.049,-9.226,0.31376,-8.87615,-1.60249,0.87401,-7.01582,0.0624
ASAP-0014786,-6.425710678100586,-10.20975399017334,-8.807,-8.894,0.32841,-9.02358,-2.38209,0.93163,-7.764,0.02481
ASAP-0011138,-3.552238941192627,-6.585141181945801,-8.068,-8.816,0.90044,-8.10005,-1.55268,0.92793,-7.16282,0.03652
ASAP-0011031,-2.329139947891236,-6.664758682250977,-8.237,-8.589,0.45402,-8.67408,-1.24348,0.86009,-7.11784,0.09184
ASAP-0013720,-7.361639976501465,-8.971636772155762,-9.92,-9.952,0.48193,-8.7962,-1.35928,0.87202,-6.82037,0.06097
ASAP-0000526,-7.306591510772705,-9.197673797607422,-9.115,-9.212,0.42964,-9.54103,-1.5854,0.90559,-7.2956,0.04958
ASAP-0013413,-7.070991039276123,-8.346999168395996,-9.463,-9.507,0.3603,-9.34954,-1.63688,0.87298,-6.95384,0.07048
ASAP-0013405,-7.617164611816406,-10.350020408630373,-9.312,-9.565,0.37475,-9.54459,-1.90144,0.866,-7.12825,0.04998
ASAP-0010754,-2.751614809036255,-6.410478115081787,-7.952,-8.315,1.05647,-8.53758,-1.88241,0.83471,-6.77951,0.16554
ASAP-0013414,-6.92689323425293,-8.943239212036133,-9.145,-9.607,0.47903,-8.8819,-1.42057,0.82552,-6.57494,0.07708
ASAP-0013301,-2.766498327255249,-6.536480903625488,-8.803,-9.093,1.09542,-8.79112,-1.8866,0.77657,-7.25895,0.03809
ASAP-0011129,-5.845052719116211,-8.79902172088623,-9.429,-9.731,0.41962,-8.85585,-0.82183,0.78077,-6.65761,0.07183
ASAP-0014797,-6.487038612365723,-9.836382865905762,-8.932,-9.297,0.50599,-9.02852,-1.78138,0.91677,-7.42723,0.03575
ASAP-0013407,-7.296723365783691,-10.3137845993042,-9.087,-9.355,0.48396,-8.78884,-0.79216,0.92605,-6.68898,0.10216
ASAP-0013722,-7.268786430358887,-8.75565242767334,-9.24,-9.623,0.32483,-9.09274,-1.84994,0.91849,-6.98371,0.07901
ASAP-0014886,-5.862139701843262,-9.098974227905272,-9.176,-9.453,0.74801,-9.02131,-2.03939,0.9361,-7.62586,0.03631
ASAP-0014951,-5.87911319732666,-8.386308670043945,-8.468,-9.098,0.66752,-9.00965,-2.11537,0.9651,-7.68057,0.01208
ASAP-0011513,-1.8722059726715088,-7.364935874938965,-8.771,-8.96,0.56282,-8.86171,-1.42376,0.95405,-6.95302,0.10248
ASAP-0013299,-3.747927665710449,-7.79280424118042,-8.325,-8.803,0.86642,-8.81542,-1.72117,0.92197,-7.15171,0.07847
ASAP-0010752,-5.508984088897705,-10.385613441467283,-8.831,-8.963,0.8119,-8.34761,-1.75159,0.97028,-7.13973,0.02635
ASAP-0008314,-4.870739936828613,-9.787495613098145,-8.601,-8.946,0.92728,-8.84784,-0.68086,0.97533,-6.11565,0.14576
ASAP-0014881,-4.360072135925293,-6.5075297355651855,-8.039,-8.127,0.57726,-8.52406,-1.19736,0.91818,-7.02924,0.09649
ASAP-0011056,-2.580765724182129,-7.580850601196289,-8.447,-8.871,0.81753,-8.50175,-1.59575,0.96248,-7.37525,0.03815
ASAP-0013266,0.3756688833236694,-8.233963012695312,-8.844,-8.93,0.89834,-8.89513,-1.5354,0.85915,-7.18552,0.06506
