lig-ID,IC50 (µM),IC50 lower (µM),Minh pIC50
ASAP-0000175,1.93560703139517,0.2634200350206886,5.523885179602429
ASAP-0000153,2.3586901701435465,0.3559442983834542,6.497705581203191
ASAP-0000272,1.85187150509947,0.26976972005254357,6.472606835747221
ASAP-0000372,3.354436309229259,1.667480441501893,5.75909164453495
ASAP-0000373,2.668878657726522,0.3352392564468949,6.220226904489319
ASAP-0000374,8.218872034633227,0.8656093682407618,5.883768060770022
ASAP-0000375,1.858325068250434,0.3438350875529162,6.389080131881546
ASAP-0000437,38.35144146793109,4.309710216044129,5.009400471237933
ASAP-0000185,37.97863665558483,4.667067327219225,5.017337295909426
ASAP-0000205,6.225823904456062,0.0327838319722158,5.954529225983413
ASAP-0000207,9.043630134701282,1.077534692710486,5.716818696927294
ASAP-0000208,8.475506739024942,2.340009130706165,5.651355654036514
ASAP-0000211,5.857443021433129,0.369554084291725,5.994913844512133
ASAP-0000212,6.691805876464804,0.4708123930525997,6.037249041483743
ASAP-0000214,16.04590898553426,1.395549155947652,5.279936021952062
ASAP-0000215,7.611945293749446,0.5195599116240952,6.025946112494153
ASAP-0000216,5.390502544047057,0.1002001436046299,6.037377580941414
ASAP-0000217,6.551704153555652,0.4347722746293066,5.783186776556204
ASAP-0000219,19.38809347037307,1.225904763834341,5.640938033364977
ASAP-0000220,6.608095145616711,0.2764668588428528,5.870051482120778
ASAP-0000221,10.72101954409202,1.4952725912427,5.665931208503356
ASAP-0000222,6.110498203459951,0.0122375269062773,5.962493611452453
ASAP-0000223,6.847123085350213,0.8511002465779839,5.793422548959623
ASAP-0000226,21.20435167159826,3.255085550585858,5.450208175454991
ASAP-0000227,7.709362924217056,1.069531220644444,5.796581094336254
ASAP-0000523,18.27057358964347,3.662615284136641,5.36054417452865
ASAP-0000526,6.19226025045922,0.2983486681149565,5.978114225081301
ASAP-0000528,8.57951929175248,1.048442644465316,5.798260426342523
ASAP-0000542,70.30953509377247,24.03025071588601,4.739267479638282
ASAP-0000541,8.077393425073312,1.295491593442762,5.807039306033509
ASAP-0000573,87.97911797041812,80.7392778321702,4.321769477682593
ASAP-0000577,26.48338226764384,5.176973397840298,5.396868875120571
ASAP-0000580,6.160684986338736,0.5755518290143168,5.871192235151544
ASAP-0000447,97.4686337243366,52.78078914217594,4.845239052850269
ASAP-0000652,28.67906015629146,7.597231944247156,5.120304080769177
ASAP-0000651,36.67780465256238,4.806111044658928,5.016783489656264
ASAP-0000654,1.4301580543422856,0.3006454229386549,6.595382209034083
