lig-ID,premin-score-POSIT,docking-score-POSIT,Vina-score-premin,Vina-score-min,gnina-RMSD,gnina-dock-Affinity,gnina-Affinity-var,CNN_dock_score,CNN_dock_affinity,CNNvariance
ASAP-0013407,-8.928068161010742,-13.294471740722656,-9.204,-9.307,0.23119,-9.92288,-1.2893,0.96728,-6.95453,0.11509
ASAP-0013413,-8.091096878051758,-12.998979568481444,-9.79,-9.898,0.27305,-9.88581,-1.59126,0.9116,-7.03099,0.10751
ASAP-0010752,-6.713249206542969,-14.777898788452148,-9.817,-9.933,0.26088,-10.21498,-1.51275,0.95532,-7.24352,0.13879
ASAP-0000526,-9.797111511230469,-14.427253723144531,-10.14,-10.018,0.15239,-10.55559,-1.93444,0.96283,-7.7953,0.06114
ASAP-0011138,-8.032425880432129,-13.195648193359377,-9.485,-9.801,0.27966,-10.39125,-1.8004,0.96515,-7.68758,0.23826
ASAP-0011129,-4.542144298553467,-11.485124588012695,-9.53,-9.49,0.19105,-10.06523,-0.506,0.95665,-7.04101,0.12249
ASAP-0013301,-7.473034858703613,-13.054937362670898,-9.87,-10.106,0.66201,-9.8799,-2.08982,0.82837,-7.44936,0.08496
ASAP-0014925,-3.8104214668273926,-16.181047439575195,-9.9,-9.9,0.46179,-10.00991,-2.96545,0.85095,-7.75821,0.20479
ASAP-0013397,-8.888500213623047,-12.75236701965332,-9.224,-9.313,0.42893,-9.73702,-1.85551,0.88038,-7.10583,0.10136
ASAP-0013266,-9.050979614257812,-12.44963550567627,-9.903,-9.951,0.21606,-10.04872,-1.02004,0.91879,-7.7043,0.15454
ASAP-0013716,-0.2615346908569336,-11.24538230895996,-8.43,-8.722,0.4184,-8.8436,-1.80987,0.94238,-7.63255,0.0767
ASAP-0013264,-6.8302202224731445,-13.016950607299805,-9.515,-9.757,0.33802,-9.61951,-1.83483,0.94409,-7.42424,0.11278
ASAP-0011513,-6.742712020874023,-13.591522216796877,-9.55,-9.754,0.40843,-10.32455,-1.70454,0.95918,-7.20706,0.16741
ASAP-0014951,-7.807718276977539,-12.71586799621582,-8.831,-9.294,0.53936,-9.44566,-2.15788,0.95603,-7.68081,0.11929
ASAP-0013720,-7.47668981552124,-12.051794052124023,-9.369,-9.731,0.57639,-10.14178,-1.4303,0.93414,-7.26971,0.09718
ASAP-0008314,-5.575589656829834,-8.659753799438477,-8.128,-8.47,0.34434,-9.05634,-0.46163,0.97036,-6.51135,0.17361
ASAP-0011031,-6.386329650878906,-13.393400192260742,-9.361,-9.38,0.46493,-9.87672,-1.14084,0.97857,-7.55609,0.33339
ASAP-0011127,-8.128671646118164,-13.125739097595217,-9.11,-9.295,0.30642,-10.01304,-1.64143,0.94694,-7.09157,0.1447
ASAP-0013722,-8.700172424316406,-12.83066749572754,-9.658,-9.92,0.25932,-10.05376,-1.846,0.9088,-7.07301,0.13716
ASAP-0014886,-8.522551536560059,-12.751710891723633,-9.282,-9.443,0.35123,-9.83875,-2.24527,0.93916,-7.72655,0.25389
ASAP-0014882,-6.7148942947387695,-16.96224021911621,-7.888,-9.965,0.69573,-9.81349,-1.78647,0.88104,-7.27582,0.09834
ASAP-0013300,-7.988059043884277,-12.279476165771484,-9.541,-9.6,0.37155,-10.1698,-2.11833,0.88115,-7.50713,0.13891
ASAP-0013414,-8.722000122070312,-13.64941692352295,-9.987,-10.062,0.4067,-10.72992,-0.95714,0.96138,-7.15972,0.08228
ASAP-0014966,-4.3896026611328125,-11.978385925292969,-9.387,-9.694,0.86807,-10.48253,-2.25257,0.96929,-7.72688,0.44968
ASAP-0014973,-1.9327397346496584,-12.832250595092772,-8.829,-8.901,0.85831,-9.41744,-1.77084,0.91902,-7.65995,0.1029
ASAP-0013404,2.714954376220703,-14.527560234069824,-9.732,-9.981,0.67756,-10.25451,-1.57579,0.89177,-7.30897,0.24912
ASAP-0013739,2.1598618030548096,-14.73427963256836,-9.961,-9.972,0.91819,-9.97418,-1.74982,0.97217,-7.55092,0.16807
ASAP-0013268,-2.7791614532470703,-7.294388771057129,-9.255,-9.352,0.42248,-9.35846,-1.89062,0.90259,-7.31715,0.09107
ASAP-0013894,0.0,-13.204364776611328,-9.305,-9.441,0.54047,-9.90137,-2.20117,0.96657,-7.65698,0.18208
ASAP-0000733,0.0,-14.305171966552734,-10.312,-10.369,0.2526,-10.43689,-1.45862,0.96573,-7.03948,0.10326
ASAP-0013272,0.0,-14.76950454711914,-10.38,-10.521,0.27685,-10.63575,-1.59458,0.9398,-7.17921,0.08329
ASAP-0013412,0.0,-12.722631454467772,-10.084,-10.073,0.27335,-10.20215,-1.07814,0.89395,-6.92958,0.09084
ASAP-0013273,0.0,-11.479878425598145,-9.943,-10.008,0.35949,-10.10066,-1.73126,0.8707,-6.96399,0.04565
ASAP-0000542,0.0,-12.479988098144531,-9.666,-9.882,0.4767,-10.07508,-1.66991,0.93983,-7.15114,0.05457
ASAP-0013893,0.0,-13.014981269836426,-9.65,-9.744,0.30316,-9.88737,-1.97442,0.86475,-7.25978,0.42112
ASAP-0011052,0.0,-12.930973052978516,-9.503,-9.657,0.31395,-9.81513,-1.5965,0.95393,-7.08223,0.11086
ASAP-0013891,0.0,-15.517168998718262,-9.799,-10.241,0.30543,-10.23294,-1.84738,0.97234,-7.73542,0.06215
ASAP-0013715,0.0,-12.409100532531738,-7.429,-7.509,0.82105,-7.87886,-1.37596,0.88873,-6.7588,0.02204
ASAP-0011124,0.0,-14.070133209228516,-9.919,-9.879,0.34913,-9.97034,-1.52458,0.9374,-7.22446,0.14729
ASAP-0000447,0.0,-8.365351676940918,-7.801,-7.838,0.12058,-7.92344,-0.23154,0.91911,-5.84984,0.08662
ASAP-0013890,0.0,-14.575390815734863,-9.383,-9.799,0.51351,-10.24753,-1.01346,0.96077,-7.69674,0.0744
ASAP-0013898,0.0,-11.94759464263916,-9.272,-9.508,0.67648,-9.82879,-0.91921,0.8798,-7.27377,0.15993
ASAP-0013265,0.0,-13.53582763671875,-10.018,-10.415,0.38918,-10.54261,-2.01316,0.96788,-7.7104,0.10008
ASAP-0014887,0.0,-15.944317817687988,-10.634,-10.814,0.54221,-10.96949,-2.1049,0.90371,-7.84132,0.15379
ASAP-0013925,0.0,-13.785981178283691,-10.075,-10.608,0.9459,-10.9701,-1.72391,0.98227,-7.89828,0.14787
ASAP-0013305,0.0,-12.456819534301758,-9.666,-9.744,0.48133,-10.00105,-1.61019,0.85902,-7.05497,0.02739
ASAP-0013423,0.0,-11.821245193481444,-9.859,-10.097,0.5139,-10.2938,-1.56776,0.85753,-7.1902,0.17394
ASAP-0013832,0.0,-15.637874603271484,-9.832,-9.898,0.30514,-10.0504,-1.98125,0.98081,-7.51119,0.18218
ASAP-0014931,0.0,-16.099937438964844,-10.486,-10.495,0.24718,-10.60813,-1.57448,0.91246,-7.66881,0.11757
ASAP-0000541,0.0,-11.61623477935791,-9.182,-9.34,0.51331,-9.47933,-1.51378,0.88072,-6.61269,0.03071
ASAP-0011059,0.0,-11.77000904083252,-9.051,-9.179,0.45697,-9.41862,-1.95962,0.92026,-7.05444,0.07982
ASAP-0013814,0.0,-13.4802885055542,-9.655,-9.851,0.37403,-9.99645,-2.15483,0.96061,-7.8524,0.10613
ASAP-0014936,0.0,-16.383474349975586,-9.503,-9.68,0.36659,-9.99538,-1.34952,0.93737,-7.2345,0.11746
ASAP-0014938,0.0,-16.04300880432129,-9.628,-9.589,0.35801,-9.6821,-1.2205,0.93367,-7.13615,0.14643
ASAP-0013721,0.0,-10.723929405212402,-9.545,-9.647,0.57801,-9.82296,-1.52012,0.84435,-7.07653,0.03197
ASAP-0014551,0.0,-10.722471237182615,-8.727,-9.107,0.60477,-9.55021,-1.30394,0.8562,-7.1767,0.12266
ASAP-0000372,0.0,-13.333416938781738,-8.752,-8.886,0.45502,-9.20472,-1.41674,0.92908,-7.37943,0.11214
ASAP-0011038,0.0,-13.55746841430664,-9.423,-9.556,0.4112,-9.90766,-0.74329,0.79369,-6.68823,0.16208
ASAP-0000156,0.0,-9.179862022399902,-8.805,-8.831,0.86492,-9.01443,-2.9754,0.82935,-7.03056,0.11718
ASAP-0000437,0.0,-12.08095645904541,-9.235,-9.3,0.43693,-9.62874,-0.60832,0.87455,-6.51892,0.29029
ASAP-0008475,0.0,-9.2288179397583,-6.95,-7.673,0.8693,-8.31143,-1.35971,0.31439,-6.55798,0.18092
ASAP-0028893,0.0,-15.246078491210938,-9.84,-9.839,0.31059,-10.08932,-1.854,0.94997,-7.71683,0.11794
ASAP-0021170,0.0,-12.018774032592772,-9.128,-9.251,0.28132,-9.40343,-1.34823,0.9272,-7.39419,0.09559
ASAP-0008631,0.0,-11.013944625854492,-7.098,-7.288,0.3373,-7.69581,-0.56611,0.91061,-6.33671,0.04708
ASAP-0000375,0.0,-11.629759788513184,-8.301,-8.585,0.98882,-8.92431,-1.73316,0.88287,-7.71741,0.27815
ASAP-0017653,0.0,-11.516401290893556,-9.309,-9.54,0.38841,-9.63908,-2.24484,0.94897,-7.76716,0.14874
ASAP-0021629,0.0,-11.037190437316896,-9.152,-9.299,0.36596,-9.58729,-1.77424,0.91341,-7.36297,0.07991
ASAP-0013279,0.0,-7.44814395904541,-6.404,-6.813,0.48155,-7.2187,-0.46641,0.76882,-5.52051,0.17189
ASAP-0008675,0.0,-7.78960657119751,-5.951,-6.171,1.71815,-7.11242,-0.80931,0.82498,-6.40258,0.10339
ASAP-0012339,0.0,-13.72967529296875,-9.34,-9.303,0.36765,-9.48228,-1.24694,0.96594,-7.00478,0.17395
ASAP-0008420,0.0,-11.990518569946287,-9.427,-9.657,0.58417,-9.83817,-0.80275,0.87586,-7.42266,0.1228
ASAP-0027797,0.0,-14.56808376312256,-9.56,-9.776,0.38545,-9.94787,-2.29983,0.94913,-7.7593,0.07708
ASAP-0029340,0.0,-12.121075630187988,-9.581,-9.638,0.25264,-9.7308,-1.63164,0.91807,-7.52166,0.25117
ASAP-0028813,0.0,-8.34045124053955,-8.675,-8.895,0.76546,-9.38985,-2.14994,0.73675,-7.44852,0.16762
ASAP-0015677,0.0,-12.158623695373535,-9.482,-9.532,0.30864,-9.72604,-1.7949,0.95352,-7.31148,0.08249
ASAP-0014582,0.0,-10.79987907409668,-8.331,-8.65,1.24092,-9.04916,-3.05842,0.60707,-7.25987,0.33071
ASAP-0027809,0.0,-13.429244995117188,-9.622,-9.751,0.33288,-9.88391,-1.07883,0.93704,-7.65124,0.05392
ASAP-0008359,0.0,-15.016084671020508,-8.058,-8.419,0.39723,-8.98978,-0.80226,0.92632,-6.58508,0.01931
ASAP-0010714,0.0,-9.781564712524414,-8.072,-8.201,0.2649,-8.2876,-1.37095,0.90872,-6.70706,0.06482
ASAP-0028920,0.0,-11.632523536682127,-9.27,-9.581,0.2804,-9.7019,-2.34196,0.77354,-7.55106,0.13934
ASAP-0029492,0.0,-9.725241661071776,-9.044,-9.686,0.68535,-9.7469,-2.61217,0.82347,-7.5548,0.34016
ASAP-0011532,0.0,-12.951677322387695,-9.467,-9.575,0.52419,-9.95766,-1.72164,0.92967,-7.43684,0.19697
ASAP-0022465,0.0,-13.128778457641602,-9.591,-9.699,0.54193,-9.93245,-1.82661,0.93924,-7.70993,0.07366
ASAP-0027733,0.0,-11.876925468444824,-9.37,-9.724,0.35691,-9.89066,-1.9798,0.91548,-7.59115,0.22019
ASAP-0027990,0.0,-12.098058700561523,-9.615,-9.911,0.3482,-9.99985,-1.92308,0.85758,-7.47245,0.23263
